time,x,y,z,class
0.0,207.012207031,12.4847564697,126.371955872,1
0.06,205.548782349,4.00914621353,126.798782349,1
0.11,191.600616455,-9.07012176514,127.195121765,1
0.17,158.932937622,46.7835388184,134.542678833,1
0.22,124.756103516,52.0121955872,139.878051758,1
0.28,104.451225281,-10.1676836014,142.682937622,1
0.33,101.432929993,-85.0152435303,139.161590576,1
0.39,113.003051758,-216.722564697,132.378051758,1
0.44,128.856704712,-419.878051758,120.121955872,1
0.5,151.493911743,-499.496948242,96.4329299927,1
0.56,154.725616455,-499.496948242,59.6798782349,1
0.61,132.317077637,-497.454284668,19.2987804413,1
0.67,121.402442932,-499.496948242,15.6097564697,1
0.72,102.972564697,-452.54574585,30.0457324982,1
0.78,71.6615905762,-209.420730591,17.6067085266,1
0.83,20.4573173523,8.39939022064,29.2987804413,1
0.89,-27.1951217651,44.6493911743,48.0030517578,1
0.94,-50.9298782349,-29.2987804413,62.9573173523,1
1.0,-70.0609741211,-75.0762176514,81.1585388184,1
1.05,-82.6676864624,-32.8048782349,72.7286605835,1
1.1,-92.7286605835,125.442077637,60.4573173523,1
1.14,-117.713417053,163.246948242,46.7835388184,1
1.19,-119.43598175,71.0213394165,95.5487823486,1
1.24,-128.323181152,161.189025879,126.829269409,1
1.29,-56.5548782349,-39.4359779358,76.2042694092,1
1.33,-52.9573173523,-20.3810977936,61.6615867615,1
1.38,26.8140258789,-50.8384170532,-7.59146356583,1
1.43,-4.00914621353,-13.1707315445,-7.53048801422,1
1.48,-0.18292683363,-29.6951217651,4.10060977936,1
1.52,5.28963422775,-42.9573173523,-13.5365858078,1
1.57,30.0762195587,-41.3262214661,-21.1737804413,1
1.62,36.432926178,-43.6585388184,1.8597561121,1
1.67,23.9634151459,-44.2073173523,36.6463432312,1
1.71,27.4542694092,-42.9268302917,39.5731735229,1
1.76,38.6432952881,-44.9390258789,57.3628044128,1
1.81,31.4481716156,-49.9390258789,65.5030517578,1
1.86,28.8719520569,-59.7256126404,58.4756126404,1
1.9,37.0121955872,-12.7591466904,29.4207324982,1
1.95,73.7652435303,35.5182952881,-17.3323173523,1
2.0,79.4359741211,65.0304870605,-50.3048782349,1
2.04,66.875,341.844512939,-120.198173523,1
2.08,9.13109779358,451.554901123,-49.4664649963,1
2.12,-39.3902435303,237.48475647,-41.0365867615,1
2.17,-47.0884170532,121.371955872,-55.3506126404,1
2.21,-102.926834106,160.045730591,-102.51524353,1
2.25,-94.6493911743,93.8109741211,-106.966468811,1
2.29,-100.975608826,143.582321167,-91.5701217651,1
2.33,-96.9969558716,216.570129395,-77.8810958862,1
2.38,-77.6676864624,250.259155273,-16.4024391174,1
2.42,-66.3109741211,253.84147644,21.1432933807,1
2.46,-54.5274391174,131.829269409,73.7195129395,1
2.5,-36.8292694092,-17.7134151459,82.5152435303,1
2.54,-29.5426845551,184.512207031,28.0182933807,1
2.58,-167.637191772,124.817077637,74.4054870605,1
2.62,-324.588409424,-198.597564697,121.448173523,1
2.67,-211.23475647,-84.5579299927,115.60975647,1
2.71,70.8231735229,-30.7926845551,67.0121994019,1
2.75,12.8506097794,9.84756088257,48.5365867615,1
2.79,-7.27134180069,-145.243911743,56.0823173523,1
2.83,142.789642334,-264.024383545,14.4969511032,1
2.88,217.652450562,-389.496948242,-26.7225608826,1
2.92,348.323181152,-499.496948242,-222.652450562,1
2.96,246.326217651,12.4237804413,-135.01524353,1
3.0,56.9207344055,-255.960372925,67.0731735229,1
3.04,86.9359741211,-201.753051758,85.8079299927,1
3.08,172.835372925,325.350616455,-48.0640258789,1
3.12,132.408538818,173.14024353,23.6737804413,1
3.17,64.0548782349,57.5,6.29573202133,1
3.21,55.3201217651,139.969512939,-81.4176864624,1
3.25,69.0548782349,221.646347046,-96.1432952881,1
3.29,31.0060977936,113.780487061,-75.5792694092,1
3.33,-36.1737823486,-20.350610733,21.3567085266,1
3.38,-147.48475647,-158.978668213,9.7865858078,1
3.42,-171.707321167,-120.365859985,-15.9908542633,1
3.46,44.8628044128,-254.939025879,-41.9817085266,1
3.5,101.051834106,-451.112823486,-61.1890258789,1
3.54,61.509147644,-486.371948242,-107.195121765,1
3.58,-246.783538818,283.414642334,-60.5182952881,1
3.62,-17.4390239716,-72.8810958862,41.2957344055,1
3.67,20.7926826477,80.0152435303,84.8018341064,1
3.71,-81.9512176514,106.509147644,61.8902435303,1
3.75,-84.7865905762,75.9756088257,88.6432952881,1
3.79,-104.009147644,-5.97560977936,115.320121765,1
3.83,-110.975608826,18.1402435303,109.740859985,1
3.88,-108.689025879,82.759147644,72.4085388184,1
3.92,-104.314025879,108.628051758,36.9512214661,1
3.96,-96.9359741211,40.3506088257,-111.524391174,1
4.0,-84.832321167,-14.2682933807,-135.929885864,1
4.05,-29.4512195587,-153.73475647,-124.268295288,1
4.1,97.0426864624,-332.118896484,-44.5274391174,1
4.14,113.689025879,-292.179870605,22.2713413239,1
4.19,89.115852356,-121.23475647,111.097564697,1
4.24,-72.0579299927,-70.9298782349,192.835372925,1
4.29,-123.917686462,-64.8170776367,161.570129395,1
4.33,-191.158538818,-48.8567085266,62.6067085266,1
4.38,-187.271347046,-15.2743902206,-18.2926826477,1
4.43,33.5060997009,-173.780487061,-132.301834106,1
4.48,20.0762195587,5.10670757294,-89.2225646973,1
4.52,20.0,49.1158561707,-118.567077637,1
4.57,-57.1189041138,-234.740859985,-61.875,1
4.62,-67.2103652954,-302.210357666,-50.6859779358,1
4.67,-73.582321167,-400.990875244,-1.46341466904,1
4.71,-111.371955872,-232.911590576,48.3536605835,1
4.76,-113.780487061,-96.2347564697,49.375,1
4.81,-85.6402435303,-207.881103516,-13.3993902206,1
4.86,-40.7469520569,-108.841468811,5.19817066193,1
4.9,-32.4847564697,-86.6310958862,-22.1189022064,1
4.95,-24.9237804413,-103.551834106,-100.899391174,1
5.0,-33.2317085266,-92.0579299927,-73.6585388184,1
5.05,-47.5762214661,-3.94817090034,-44.7103652954,1
5.1,-18.3993911743,-14.5884151459,-74.4054870605,1
5.15,-38.3993911743,44.6189041138,-78.3536605835,1
5.2,-28.4298782349,40.6402435303,-140.503051758,1
5.25,-30.6554889679,130.868911743,-249.192077637,1
5.3,16.966463089,115.929878235,-77.4847564697,1
5.35,14.375,66.615852356,150.975616455,1
5.4,1.92073178291,63.4603691101,200.762207031,1
5.45,1.55487811565,83.0640258789,218.079269409,1
5.5,4.48170757294,145.091461182,198.856704712,1
5.55,61.3109779358,435.442077637,16.4634151459,1
5.6,60.9756126404,494.893310547,90.9298782349,1
5.65,12.7896347046,437.073181152,98.6128082275,1
5.7,-18.2621955872,228.567077637,75.7317123413,1
5.75,51.5853652954,88.6585388184,17.0426826477,1
5.8,38.4146347046,-30.0609760284,43.6432952881,1
5.85,22.6371955872,15.7164640427,65.6097564697,1
5.9,-4.49695110321,-1.14329266548,-7.25609779358,1
5.95,27.8963413239,84.115852356,-19.8780498505,1
6.0,-6.92073202133,28.9176826477,-14.1158542633,1
6.04,-9.17682933807,-106.036590576,-11.8597564697,1
6.08,20.1219520569,-162.225616455,-19.8932933807,1
6.12,3.26219511032,-134.573181152,-27.1036586761,1
6.17,17.134147644,-181.097564697,-33.5518302917,1
6.21,-11.6006097794,-8.99390220642,-7.33231735229,1
6.25,-30.7774391174,-15.9298782349,-25.6097564697,1
6.29,-29.8780498505,-42.1646347046,-44.4359779358,1
6.33,-9.26829242706,-44.9847564697,-31.067073822,1
6.38,18.3231716156,-35.5792694092,-0.838414669037,1
6.42,-112.591468811,53.2926826477,-18.4146347046,1
6.46,-84.8475646973,-11.0823173523,14.3140249252,1
6.5,-63.4603691101,90.0,17.1798782349,1
6.54,63.7957344055,181.067077637,-22.8048782349,1
6.58,96.2957305908,165.381103516,-24.5731716156,1
6.62,132.591461182,180.853668213,-21.0060977936,1
6.67,120.518295288,186.173782349,-9.22256088257,1
6.71,186.189025879,167.271347046,6.23475646973,1
6.75,154.679885864,22.0884151459,2.11890244484,1
6.79,98.8871994019,61.9817085266,24.3292694092,1
6.83,80.2743911743,130.838424683,56.9969520569,1
6.88,66.1128082275,56.3262214661,65.3048782349,1
6.92,-10.4573173523,227.088424683,65.0457305908,1
6.96,-69.8475646973,169.176834106,116.173782349,1
7.0,-77.8963470459,116.951225281,107.972564697,1
7.05,1.31097567081,-67.6371994019,37.7743911743,1
7.1,-173.125,-58.0945129395,50.1067085266,1
7.15,-129.740859985,-291.585357666,70.7926864624,1
7.2,-89.1615905762,-316.478668213,39.0853652954,1
7.25,-96.4939041138,-326.768310547,-40.4268302917,1
7.3,-104.527442932,-270.518310547,-83.841468811,1
7.35,-119.908538818,-231.432937622,17.7286586761,1
7.4,-142.057937622,-155.594512939,64.207321167,1
7.45,-128.643295288,-153.658538818,78.7042694092,1
7.5,-101.478660583,-190.487808228,73.216468811,1
7.55,-63.1707344055,-127.454269409,10.9908542633,1
7.6,-65.3048782349,-157.362808228,39.3597564697,1
7.65,-71.6310958862,-188.73475647,54.7560997009,1
7.7,-23.5213413239,-24.5274391174,15.3810977936,1
7.75,-8.84146404266,-33.5060997009,-1.63109755516,1
7.8,-3.64329266548,-45.9146347046,-3.58231711388,1
7.85,4.05487823486,-38.8719520569,44.1310997009,1
7.9,29.5426845551,-17.8658542633,44.8323173523,1
7.95,32.5,-5.24390268326,119.527442932,1
8.0,-22.2865867615,47.3475608826,26.4024391174,1
8.05,-54.5884170532,73.4756088257,-64.0853652954,1
8.11,-67.865852356,130.670730591,-181.935974121,1
8.16,-68.1097564697,198.368911743,-212.621963501,1
8.21,-42.4847564697,77.0884170532,-199.161590576,1
8.26,73.3079299927,109.39024353,-86.3567123413,1
8.32,122.393295288,197.51524353,-49.634147644,1
8.37,169.253051758,311.387207031,-31.3109760284,1
8.42,86.3719558716,332.240875244,16.9969520569,1
8.47,47.3475608826,57.3780517578,60.3963432312,1
8.53,-9.55792713165,14.8780488968,100.030487061,1
8.58,-10.4725608826,-34.5274391174,130.807922363,1
8.63,-20.3810977936,-57.2408561707,134.39024353,1
8.68,-52.057926178,18.9939022064,-10.3658542633,1
8.74,-9.20731735229,-128.307922363,-75.4268341064,1
8.79,-14.0853662491,-97.8506088257,-102.51524353,1
8.84,-42.0121955872,-76.0975646973,-48.0335388184,1
8.89,-53.2774391174,-184.039642334,1.15853655338,1
8.95,-22.408536911,-83.3689041138,0.167682930827,1
9.0,-30.7012195587,-79.4054870605,-138.384155273,1
9.04,-55.6402435303,4.22256088257,-190.457321167,1
9.08,-46.0518302917,57.0121955872,16.7073173523,1
9.12,-2.60670733452,37.4542694092,-6.50914669037,1
9.17,41.4939041138,46.25,-31.7378063202,1
9.21,21.2804889679,111.204269409,-168.902450562,1
9.25,-63.8109779358,129.756103516,42.0884170532,1
9.29,48.6128044128,85.5945129395,-8.49085426331,1
9.33,120.259147644,111.981712341,54.6493911743,1
9.38,173.384155273,212.378051758,76.2804870605,1
9.42,17.6067085266,-103.978660583,175.853668213,1
9.46,-77.2256088257,-172.317077637,266.189025879,1
9.5,-43.1554870605,-178.612808228,188.856704712,1
9.54,-64.9390258789,-94.634147644,143.932937622,1
9.58,-33.2621955872,-71.7682952881,4.20731735229,1
9.62,-45.8384170532,-22.3475608826,-33.4298782349,1
9.67,-58.8871955872,19.634147644,-19.9390239716,1
9.71,-19.4359760284,-42.6371955872,-70.884147644,1
9.75,-20.350610733,-41.7987823486,-86.1432952881,1
9.79,-59.9695129395,-6.57012224197,-98.4603652954,1
9.83,-84.2530517578,66.1890258789,-89.6036605835,1
9.88,-97.5609741211,161.722564697,-24.4054889679,1
9.92,-100.396347046,255.335372925,-27.0579280853,1
9.96,-52.2103652954,192.667694092,-65.0152435303,1
10.0,-23.7042694092,70.8079299927,-89.7103652954,1
10.04,6.67682933807,266.097564697,-52.9878044128,1
10.08,-28.1707324982,366.036590576,-16.5396347046,1
10.12,85.2439041138,230.045730591,65.3353652954,1
10.17,94.9237823486,424.939025879,85.9451217651,1
10.21,-76.1432952881,266.387207031,153.384155273,1
10.25,-135.396347046,247.317077637,224.710372925,1
10.29,-25.3963413239,362.179901123,167.362808228,1
10.33,3.10975623131,147.256103516,137.195129395,1
10.38,-69.1920776367,85.0,139.618911743,1
10.42,-82.6219558716,-120.68598175,171.204269409,1
10.46,-69.2682952881,-173.76524353,171.85975647,1
10.5,-24.4359760284,-97.8201217651,176.85975647,1
10.54,-15.0152444839,-107.850608826,171.432937622,1
10.58,74.466468811,-217.057937622,84.8018341064,1
10.62,154.283538818,-499.496948242,-58.2317085266,1
10.67,40.1371955872,-290.990875244,-183.658538818,1
10.71,0.487804889679,-128.780487061,-197.545730591,1
10.75,27.5609760284,-40.3353652954,-84.4969558716,1
10.79,22.8353672028,-36.4939041138,-29.0548782349,1
10.83,-11.3414640427,16.9969520569,0.777439057827,1
10.88,-26.7682933807,20.7317085266,2.13414645195,1
10.92,-60.3810997009,95.8536605835,-0.472560971975,1
10.96,-69.009147644,32.5,-13.5518293381,1
11.0,-73.6890258789,2.08841466904,-2.07317066193,1
11.04,-54.1463432312,-55.8536605835,21.2042694092,1
11.08,49.2530517578,-117.179878235,8.76524448395,1
11.12,36.8445129395,-89.6951217651,-87.0731735229,1
11.17,23.9634151459,-84.634147644,-82.7439041138,1
11.21,-30.5640258789,-30.6859760284,23.8567085266,1
11.25,-12.2408542633,-55.9451217651,58.5213432312,1
11.29,31.2804889679,149.923782349,70.5792694092,1
11.33,62.0884170532,173.597564697,77.0731735229,1
11.38,68.9634170532,82.4085388184,89.7103652954,1
11.42,53.3689041138,50.6402435303,93.5670776367,1
11.46,-55.1676826477,69.7560958862,114.161590576,1
11.5,-154.618911743,154.496948242,83.8567123413,1
11.54,-159.923782349,141.783538818,19.0701217651,1
11.58,-168.582321167,151.768295288,9.23780536652,1
11.62,-177.057937622,141.875,-11.4176836014,1
11.67,-100.457321167,112.652442932,-12.3323173523,1
11.71,-103.551834106,126.646347046,-4.34451246262,1
11.75,-98.0030517578,127.408538818,12.0274391174,1
11.79,-79.5884170532,100.548782349,21.8597564697,1
11.83,-36.692073822,128.948181152,16.1128044128,1
11.88,-33.7957305908,167.51524353,16.1280498505,1
11.92,-35.182926178,122.682929993,22.7896347046,1
11.96,-9.35975646973,2.28658533096,6.93597555161,1
12.0,0.335365861654,15.6554880142,-1.67682933807,1
12.04,4.66463422775,16.6463413239,-10.7164640427,1
12.08,5.16768312454,-61.5396347046,-23.7195129395,1
12.12,23.0640258789,-80.4420776367,-20.716463089,1
12.16,27.9268302917,-77.4390258789,-22.5152435303,1
12.2,8.96341514587,-54.4359779358,-7.72865867615,1
12.24,11.3414640427,-54.6189041138,-9.55792713165,1
12.28,25.2134151459,-57.0884170532,-4.58841466904,1
12.32,-0.0457317084074,-24.6189022064,13.3689031601,1
12.36,-48.5060997009,-7.72865867615,20.1981716156,1
12.4,-54.2682952881,-8.10975646973,13.567073822,1
12.44,-55.0914649963,-34.5121955872,0.12195122242,1
12.48,-49.3902435303,-25.6554889679,1.18902444839,1
12.52,-29.8932933807,-13.2164640427,-3.58231711388,1
12.56,-4.87804889679,22.3018302917,-18.7195129395,1
12.6,3.61280488968,4.77134180069,-13.6890249252,1
12.64,4.67987823486,-5.70121955872,-11.9512195587,1
12.68,13.2469511032,-2.36280488968,-8.70426845551,1
12.72,2.89634156227,31.2957324982,-3.55182933807,1
12.76,-4.57317066193,30.0152454376,-1.38719511032,1
12.8,-6.47865867615,-1.44817078114,1.8445122242,1
12.84,-10.5487804413,-38.8567085266,6.34146356583,1
12.88,-87.7286605835,60.2896347046,50.0762214661,1
12.92,-116.448173523,32.9115867615,65.0762176514,1
12.96,-157.972564697,16.0213413239,75.091468811,1
13.0,-156.920730591,-3.70426845551,68.4298782349,0
13.04,-87.5304870605,-63.5518302917,36.8292694092,0
13.09,-20.091463089,-161.89024353,-32.5152435303,0
13.13,71.8902435303,-125.121955872,-129.618911743,0
13.17,93.2317123413,-96.3567123413,-126.600616455,0
13.22,86.7530517578,-5.80792713165,-60.7317085266,0
13.26,55.1371955872,58.7804908752,-42.9115867615,0
13.3,45.9451217651,15.0914640427,-10.7469511032,0
13.35,54.817073822,27.6981716156,-19.1615867615,0
13.39,44.3597564697,67.759147644,-72.5,0
13.43,-22.4390239716,147.560974121,-51.9207344055,0
13.48,-46.0823173523,210.228668213,-6.41768312454,0
13.52,-33.0792694092,-29.2987804413,61.1280517578,0
13.57,-5.09146356583,115.381103516,-4.29878044128,0
13.61,-31.692073822,24.5731716156,-11.7073173523,0
13.65,-35.5335388184,2.85060977936,3.49085378647,0
13.7,-24.8323173523,-23.4603672028,49.6951217651,0
13.74,-21.1432933807,-19.9390239716,54.6493911743,0
13.78,-23.3689022064,11.5701217651,61.4634170532,0
13.83,-21.4939022064,13.4756097794,55.5792694092,0
13.87,-15.6554880142,13.6890249252,29.8628063202,0
13.91,-23.475610733,47.5762214661,33.0945129395,0
13.96,-10.1067075729,69.0853652954,15.6859760284,0
14.0,-5.27439022064,58.9024391174,16.2195129395,0
14.04,0.457317084074,-4.80182933807,50.6402435303,0
14.08,-27.4542694092,-52.0884170532,101.189025879,0
14.12,-29.3597564697,-28.2317085266,57.2103652954,0
14.17,-21.7682933807,13.2621955872,33.7804870605,0
14.21,-8.33841514587,30.5640258789,6.03658533096,0
14.25,-3.75,6.60060977936,6.47865867615,0
14.29,15.4725608826,6.75304889679,11.8597564697,0
14.33,17.8810977936,5.01524400711,18.3079280853,0
14.38,11.7225608826,-55.0914649963,33.4756088257,0
14.42,13.2469511032,-61.509147644,37.8810997009,0
14.46,14.4969511032,-30.5487804413,38.4603652954,0
14.5,35.2896347046,-16.8292694092,46.1432952881,0
14.54,25.0762195587,-43.5213432312,22.0426826477,0
14.58,35.5792694092,-43.7957344055,12.7591466904,0
14.62,50.3201217651,-95.1829299927,27.0579280853,0
14.67,52.9268302917,-91.8292694092,20.4573173523,0
14.71,84.0853652954,-114.314025879,-8.76524448395,0
14.75,90.3201217651,-134.39024353,-23.1097564697,0
14.79,109.512199402,-141.981704712,-52.3780517578,0
14.83,110.274391174,-148.033538818,-62.1798782349,0
14.88,103.155487061,-149.634155273,-90.3201217651,0
14.92,102.621955872,-148.917678833,-105.68598175,0
14.96,97.0274429321,-161.417694092,-168.079269409,0
15.0,39.009147644,-50.9756126404,-240.442077637,0
15.04,36.8140258789,-152.545730591,-262.378051758,0
15.08,-127.48475647,-93.1554870605,-345.564025879,0
15.12,-158.917694092,430.625,-291.051849365,0
15.17,69.115852356,148.75,130.670730591,0
15.21,-3.30792689323,127.957321167,-34.2987823486,0
15.25,-1.69207322598,254.283538818,15.3506097794,0
15.29,-27.134147644,-17.5304889679,3.81097579002,0
15.33,-40.625,-54.8932952881,34.0853652954,0
15.38,-43.0182952881,-79.6798782349,38.7042694092,0
15.42,-39.4359779358,-60.5640258789,39.0396347046,0
15.46,-23.9939022064,-81.25,13.6128053665,0
15.5,-17.408536911,-121.981712341,17.4542694092,0
15.54,7.10365867615,-203.551834106,6.21951246262,0
15.58,89.2378082275,-178.521347046,-30.4878063202,0
