time,x,y,z,class
0.0,0.822,-0.38,0.17,1
0.07,0.932,-0.481,0.192,1
0.13,0.826,-0.435,0.213,1
0.2,0.831,-0.373,0.216,1
0.27,0.916,-0.356,0.179,1
0.33,0.925,-0.336,0.122,1
0.4,0.945,-0.362,0.153,1
0.47,0.854,-0.439,0.156,1
0.53,0.854,-0.451,0.132,1
0.6,0.883,-0.39,0.171,1
0.67,0.903,-0.378,0.188,1
0.73,0.913,-0.384,0.147,1
0.8,0.896,-0.339,0.131,1
0.87,0.917,-0.328,0.13,1
0.93,0.882,-0.393,0.18,1
1.0,0.915,-0.43,0.184,1
1.08,0.845,-0.388,0.198,1
1.17,0.877,-0.321,0.209,1
1.25,0.951,-0.343,0.183,1
1.33,0.989,-0.336,0.135,1
1.42,1.017,-0.337,0.21,1
1.5,0.842,-0.336,0.375,1
1.58,0.694,-0.39,0.401,1
1.67,0.619,-0.326,0.467,1
1.75,0.887,-0.289,0.465,1
1.83,0.835,-0.33,0.384,1
1.92,0.967,-0.252,0.338,1
2.0,0.875,-0.281,0.368,1
2.08,0.863,-0.316,0.316,1
2.17,0.872,-0.34,0.384,1
2.25,0.846,-0.355,0.414,1
2.33,0.819,-0.29,0.393,1
2.42,0.856,-0.269,0.358,1
2.5,0.917,-0.266,0.335,1
2.58,0.899,-0.248,0.351,1
2.67,0.87,-0.321,0.392,1
2.75,0.856,-0.382,0.395,1
2.83,0.761,-0.358,0.36,1
2.92,0.859,-0.302,0.344,1
3.0,0.936,-0.286,0.29,1
3.08,0.898,-0.284,0.257,1
3.17,0.927,-0.305,0.321,1
3.25,0.884,-0.334,0.376,1
3.33,0.876,-0.312,0.392,1
3.42,0.83,-0.343,0.401,1
3.5,0.788,-0.354,0.429,1
3.58,0.732,-0.367,0.505,1
3.67,0.817,-0.338,0.437,1
3.75,0.839,-0.341,0.389,1
3.83,0.88,-0.335,0.371,1
3.92,0.866,-0.333,0.291,1
4.0,0.925,-0.313,0.293,1
4.08,0.874,-0.311,0.27,1
4.17,0.883,-0.337,0.318,1
4.25,0.905,-0.312,0.324,1
4.33,0.858,-0.34,0.296,1
4.42,0.887,-0.345,0.34,1
4.5,0.879,-0.317,0.367,1
4.58,0.85,-0.349,0.405,1
4.67,0.755,-0.369,0.496,1
4.75,0.742,-0.354,0.511,1
4.83,0.694,-0.351,0.551,1
4.92,0.833,-0.348,0.419,1
5.0,0.851,-0.321,0.477,1
5.07,0.705,-0.368,0.529,1
5.13,0.752,-0.371,0.471,1
5.2,0.792,-0.369,0.404,1
5.27,1.034,-0.315,0.239,1
5.33,0.871,-0.36,0.269,1
5.4,0.858,-0.345,0.352,1
5.47,0.906,-0.332,0.257,1
5.53,0.912,-0.351,0.368,1
5.6,0.827,-0.36,0.419,1
5.67,0.758,-0.413,0.495,1
5.73,0.64,-0.42,0.583,1
5.8,0.741,-0.362,0.32,1
5.87,0.939,-0.342,0.415,1
5.93,0.643,-0.365,0.566,1
6.0,0.699,-0.414,0.581,1
6.08,0.838,-0.416,0.585,1
6.17,0.864,-0.361,0.391,1
6.25,0.853,-0.327,0.415,1
6.33,0.766,-0.408,0.585,1
6.42,0.582,-0.417,0.665,1
6.5,0.704,-0.413,0.466,1
6.58,0.972,-0.306,0.388,1
6.67,0.61,-0.332,0.531,1
6.75,0.615,-0.375,0.489,1
6.83,0.655,-0.455,0.667,1
6.92,0.919,-0.417,0.505,1
7.0,1.142,-0.269,0.205,1
7.08,0.934,-0.147,0.362,1
7.17,0.733,-0.252,0.434,1
7.25,0.789,-0.307,0.472,1
7.33,0.732,-0.257,0.574,1
7.42,0.751,-0.283,0.609,1
7.5,0.849,-0.204,0.458,1
7.58,0.883,-0.142,0.34,1
7.67,0.979,-0.055,0.329,1
7.75,0.917,-0.022,0.313,1
7.83,0.971,-0.051,0.346,1
7.92,0.893,-0.255,0.419,1
8.0,0.833,-0.289,0.414,1
8.08,0.865,-0.108,0.384,1
8.17,0.954,-0.075,0.307,1
8.25,0.913,-0.037,0.252,1
8.33,1.0,-0.028,0.271,1
8.42,0.986,-0.145,0.293,1
8.5,0.919,-0.204,0.325,1
8.58,0.826,-0.238,0.386,1
8.67,0.871,-0.207,0.31,1
8.75,0.903,-0.167,0.329,1
8.83,0.983,-0.083,0.256,1
8.92,1.011,-0.07,0.27,1
9.0,0.982,-0.104,0.287,1
9.08,0.922,-0.124,0.308,1
9.17,0.865,-0.192,0.376,1
9.25,0.889,-0.263,0.381,1
9.33,0.852,-0.216,0.394,1
9.42,0.86,-0.118,0.342,1
9.5,0.902,-0.122,0.31,1
9.58,0.952,-0.185,0.167,1
9.67,0.826,-0.22,0.234,1
9.75,0.777,-0.312,0.134,1
9.83,0.889,-0.432,0.164,1
9.92,0.832,-0.566,0.051,1
10.0,0.873,-0.607,0.077,1
10.07,0.879,-0.652,0.08,1
10.13,0.954,-0.641,0.074,1
10.2,0.815,-0.619,0.265,1
10.27,0.785,-0.69,0.358,1
10.33,0.758,-0.687,0.401,1
10.4,0.67,-0.668,0.49,1
10.47,0.55,-0.518,0.489,1
10.53,0.552,-0.442,0.518,1
10.6,0.448,-0.439,0.611,1
10.67,0.698,-0.522,0.635,1
10.73,0.511,-0.516,0.587,1
10.8,0.364,-0.507,0.634,1
