time,x,y,z,class
0.0,-0.893798828125,-0.081298828125,-0.380126953125,1
0.04,-0.68603515625,-0.220703125,-0.138671875,1
0.07,-1.09692382812,-0.278076171875,-0.218994140625,1
0.11,-1.39965820312,-0.399169921875,-0.404296875,1
0.15,-1.51220703125,-0.587646484375,-0.5107421875,1
0.19,-1.708984375,-0.750732421875,0.50341796875,1
0.22,-1.7421875,-0.549072265625,0.576171875,1
0.26,-2.05932617188,-0.500732421875,0.4638671875,1
0.3,-1.69702148438,-0.29150390625,0.819580078125,1
0.33,-1.51513671875,-0.33056640625,0.635498046875,1
0.37,-1.03198242188,-0.3115234375,0.468994140625,1
0.41,-1.24975585938,-0.29833984375,0.164794921875,1
0.44,-1.498046875,-0.374755859375,-0.2353515625,1
0.48,-1.40600585938,-0.468505859375,-0.26611328125,1
0.52,-1.18994140625,-0.45751953125,-0.239501953125,1
0.56,-1.10864257812,-0.467529296875,-0.35009765625,1
0.59,-1.17578125,-0.52490234375,-0.634033203125,1
0.63,-0.8662109375,-0.773193359375,-0.956298828125,1
0.67,-0.2001953125,-1.01171875,-0.727783203125,1
0.7,-0.4775390625,-1.26513671875,0.0,1
0.74,-0.735595703125,-1.35009765625,0.564208984375,1
0.78,-0.83056640625,-1.09692382812,0.733154296875,1
0.81,-0.51611328125,-0.769287109375,0.579345703125,1
0.85,-0.74365234375,-0.699951171875,0.311767578125,1
0.89,-0.957275390625,-0.65087890625,0.137939453125,1
0.93,-0.704833984375,-0.604248046875,0.2978515625,1
0.96,-0.526611328125,-0.48095703125,0.46923828125,1
1.0,-0.33447265625,-0.242919921875,0.717041015625,1
1.04,-0.68505859375,-0.270263671875,0.83984375,1
1.07,-0.5927734375,-0.230224609375,0.4296875,1
1.11,-0.51904296875,-0.344482421875,1.38916015625,1
1.15,-0.409912109375,-0.251953125,1.37817382812,1
1.19,-0.57080078125,-0.2939453125,0.8046875,1
1.22,-0.639892578125,-0.390380859375,0.737060546875,1
1.26,-0.34765625,-0.465087890625,0.6630859375,1
1.3,-0.2373046875,-0.49609375,0.6552734375,1
1.33,-0.573974609375,-0.619873046875,0.536376953125,1
1.37,-0.2919921875,-0.206298828125,0.70703125,1
1.41,-0.179443359375,-0.5087890625,0.999267578125,1
1.44,-0.322509765625,-0.803466796875,1.03369140625,1
1.48,-0.33447265625,-0.73193359375,0.904296875,1
1.52,0.05224609375,-0.394775390625,0.99267578125,1
1.56,-0.06591796875,-0.156005859375,0.925537109375,1
1.59,0.079345703125,-0.029296875,0.983642578125,1
1.63,-0.0927734375,-0.07421875,0.864501953125,1
1.67,-0.131103515625,-0.143798828125,0.923095703125,1
1.7,-0.140625,-0.045654296875,1.1474609375,1
1.74,-0.0458984375,-0.053466796875,1.20483398438,1
1.78,-0.14306640625,0.034423828125,1.0751953125,1
1.81,-0.18359375,0.1181640625,1.12670898438,1
1.85,0.310791015625,0.0341796875,1.07055664062,1
1.89,0.612060546875,-0.262939453125,0.91162109375,1
1.93,-0.1279296875,-0.83642578125,1.06811523438,1
1.96,0.0126953125,-1.10327148438,1.05419921875,1
2.0,-0.266845703125,-1.54760742188,0.59033203125,1
2.03,-0.231689453125,-1.5068359375,0.25244140625,1
2.07,-0.955810546875,-1.08911132812,-0.08642578125,1
2.1,-0.85791015625,-0.85009765625,0.060791015625,1
2.14,-1.25708007812,-0.6591796875,-0.40380859375,1
2.17,-1.26123046875,-0.51708984375,-0.23046875,1
2.21,-1.39013671875,-0.265625,-0.581787109375,1
2.24,-1.18774414062,-0.158935546875,-0.529541015625,1
2.28,-1.064453125,0.337890625,-0.002685546875,1
2.31,-1.06005859375,0.516845703125,-0.32080078125,1
2.34,-0.970703125,0.84765625,-0.477294921875,1
2.38,-1.59301757812,0.74951171875,-0.376708984375,1
2.41,-2.08862304688,-1.02978515625,-0.30126953125,1
2.45,-0.734619140625,-1.59790039062,0.13037109375,1
2.48,-0.363037109375,-1.0185546875,-0.74951171875,1
2.52,-0.523681640625,-0.599609375,-0.591064453125,1
2.55,-0.75341796875,-0.216552734375,-0.7109375,1
2.59,-1.19995117188,0.806884765625,-2.86938476562,1
2.62,-1.83154296875,1.015625,-1.83642578125,1
2.66,0.243408203125,-0.015380859375,-0.406005859375,1
2.69,-0.8291015625,-0.68212890625,0.4990234375,1
2.72,-0.459228515625,-1.26000976562,-0.011474609375,1
2.76,-2.70263671875,-1.546875,-1.4501953125,1
2.79,-1.51000976562,-1.70678710938,-1.38916015625,1
2.83,-0.92822265625,-1.03100585938,-0.783447265625,1
2.86,-0.417236328125,-0.784423828125,-1.0849609375,1
2.9,-0.06103515625,0.20361328125,-1.0087890625,1
2.93,-1.88623046875,0.395751953125,-2.20043945312,1
2.97,-2.47680664062,0.45947265625,-2.63427734375,1
3.0,-1.06420898438,0.434326171875,-1.357421875,1
3.03,1.55029296875,0.259765625,1.24951171875,1
3.07,0.882568359375,1.02416992188,0.017333984375,1
3.1,-1.04418945312,-0.35546875,0.83935546875,1
3.13,-0.991455078125,-0.927490234375,-0.717529296875,1
3.17,-1.19750976562,0.021240234375,-0.43310546875,1
3.2,-0.83056640625,-0.046142578125,-0.144287109375,1
3.23,-0.357177734375,-0.3798828125,-0.34716796875,1
3.27,-0.50439453125,-0.29248046875,-0.412109375,1
3.3,-3.02661132812,-0.1640625,-1.287109375,1
3.33,-3.42260742188,-0.31005859375,-1.19580078125,1
3.37,-0.95654296875,-0.215576171875,0.23583984375,1
3.4,-1.21215820312,-0.841064453125,0.36669921875,1
3.43,-1.32202148438,-1.19165039062,0.271484375,1
3.47,-0.035888671875,-0.58544921875,0.38232421875,1
3.5,0.093017578125,-0.0419921875,0.05615234375,1
3.53,-0.79150390625,0.289306640625,-0.169921875,1
3.57,-1.91186523438,-0.3427734375,-1.36083984375,1
3.6,-2.4814453125,-0.23291015625,-1.16723632812,1
3.63,0.73828125,-0.342529296875,3.70166015625,1
3.67,-0.329345703125,-0.146484375,-0.69677734375,1
3.7,-1.54931640625,-0.443603515625,0.256591796875,1
3.73,-1.41040039062,-0.432373046875,0.107421875,1
3.77,-1.20336914062,-0.37451171875,-0.3466796875,1
3.8,-0.858642578125,-0.576416015625,-0.705322265625,1
3.83,-0.76220703125,-0.697998046875,-0.548828125,1
3.87,-0.645263671875,-0.84814453125,-0.469970703125,1
3.9,-0.687744140625,-0.8798828125,-0.4599609375,1
3.93,-0.73876953125,-0.34130859375,0.091796875,1
3.97,-0.65283203125,-0.24267578125,0.2197265625,1
4.0,-0.859130859375,-0.152099609375,0.160888671875,1
4.03,-0.75390625,-0.065673828125,-0.028564453125,1
4.07,-0.78515625,-0.132080078125,-0.24462890625,1
4.1,-0.943603515625,-0.81298828125,0.3994140625,1
4.13,-1.90454101562,-0.83837890625,0.36279296875,1
4.17,-1.775390625,-0.54541015625,-0.115966796875,1
4.2,-1.57739257812,-0.347900390625,-0.1875,1
4.23,-1.05834960938,0.17919921875,-0.49658203125,1
4.27,-0.861572265625,0.080322265625,-0.4287109375,1
4.3,0.498046875,-0.37744140625,0.072021484375,1
4.33,-0.2890625,-0.882568359375,-0.2021484375,1
4.37,-2.5322265625,-1.7822265625,2.74389648438,1
4.4,-0.64111328125,-1.572265625,0.7021484375,1
4.43,-1.43505859375,-0.359130859375,0.30224609375,1
4.47,-1.251953125,-0.2802734375,0.24267578125,1
4.5,-1.015625,-0.3720703125,0.215576171875,1
4.53,-0.554931640625,-0.494384765625,0.392578125,1
4.57,-0.518798828125,-0.837890625,0.46533203125,1
4.6,-0.46630859375,-0.83447265625,0.9248046875,1
4.63,-0.301513671875,-0.635498046875,0.614501953125,1
4.67,-0.140869140625,-0.52587890625,0.29443359375,1
4.7,0.224365234375,-0.548095703125,0.337646484375,1
4.73,0.407958984375,-0.640625,0.176025390625,1
4.77,-0.05810546875,-0.761962890625,0.21923828125,1
