time,x,y,z,class
0.0,13.476,71.28,22.561,3
0.04,19.024,33.415,-2.622,3
0.08,13.598,-23.171,2.439,3
0.12,14.695,-12.073,2.622,3
0.17,10.122,-2.378,0.122,3
0.21,8.598,-26.585,3.598,3
0.25,3.232,-44.573,3.598,3
0.29,-4.756,-21.829,5.061,3
0.33,-13.902,5.061,7.866,3
0.38,-16.585,40.671,0.305,3
0.42,-3.415,41.463,-1.524,3
0.46,0.854,4.39,2.134,3
0.5,8.11,-13.902,-1.037,3
0.54,14.817,-24.268,-1.951,3
0.58,11.28,-22.622,-0.854,3
0.62,5.122,-32.5,6.463,3
0.67,-2.866,-62.195,8.11,3
0.71,-15.793,-59.634,5.122,3
0.75,-15.549,-60.854,7.439,3
0.79,-7.988,-47.439,6.402,3
0.83,8.537,-48.354,-11.646,3
0.88,-3.476,-61.28,-15.549,3
0.92,-36.524,2.927,11.707,3
0.96,-29.756,146.707,29.207,3
1.0,-52.256,117.561,20.427,3
1.04,-88.841,58.902,15.305,3
1.08,-112.744,11.22,34.146,3
1.12,-157.866,61.646,80.793,3
1.17,-191.524,185.854,122.744,3
1.21,-174.817,179.756,152.256,3
1.25,-103.72,-27.195,138.049,3
1.29,-1.159,-167.744,42.622,3
1.33,74.451,-174.634,-63.415,3
1.38,73.476,-190.854,-147.317,3
1.42,103.293,-101.159,-214.817,3
1.46,150.793,5.0,-214.634,3
1.5,191.037,48.659,-160.549,3
1.54,146.524,-12.927,-89.329,3
1.58,100.854,-106.402,-19.695,3
1.62,129.512,-84.024,3.232,3
1.67,91.037,39.756,-30.122,3
1.71,4.146,136.341,-53.171,3
1.75,61.098,354.207,-13.72,3
1.79,44.573,375.915,-11.89,3
1.83,-9.146,92.927,-103.902,3
1.88,-33.049,-55.671,-79.573,3
1.92,-45.305,-25.244,-26.098,3
1.96,-62.744,-74.512,-5.0,3
2.0,-95.183,-154.817,33.659,3
2.04,-75.61,-231.524,73.841,3
2.07,-28.354,-228.476,26.22,3
2.11,-17.744,-104.024,-61.707,3
2.15,-4.512,14.939,-59.634,3
2.19,22.073,3.963,-7.866,3
2.22,20.0,7.317,63.293,3
2.26,-2.195,49.817,95.183,3
2.3,-12.744,-73.963,37.622,3
2.33,9.085,-74.451,8.841,3
2.37,3.659,7.5,-3.537,3
2.41,-9.268,30.305,-2.561,3
2.44,-6.463,-4.695,-4.939,3
2.48,4.024,-40.793,-10.976,3
2.52,20.915,-48.841,-11.524,3
2.56,21.89,-51.89,-17.805,3
2.59,14.146,-32.256,-14.451,3
2.63,17.256,-41.829,-16.28,3
2.67,22.927,-51.768,-15.305,3
2.7,6.89,-7.378,0.549,3
2.74,3.11,-10.427,7.439,3
2.78,10.366,-16.646,7.195,3
2.81,5.061,9.207,10.305,3
