acc_mean_x_right,acc_mean_y_right,acc_mean_z_right,acc_mean_xyz_right,acc_mean_xy_right,acc_mean_yz_right,acc_mean_zx_right,acc_mean_pitch_right,acc_mean_roll_right,acc_std_x_right,acc_std_y_right,acc_std_z_right,acc_std_xyz_right,acc_std_xy_right,acc_std_yz_right,acc_std_zx_right,acc_std_pitch_right,acc_std_roll_right,acc_auc_x_right,acc_auc_y_right,acc_auc_z_right,acc_auc_xyz_right,acc_auc_xy_right,acc_auc_yz_right,acc_auc_zx_right,acc_auc_pitch_right,acc_auc_roll_right,acc_max_x_right,acc_max_y_right,acc_max_z_right,acc_max_xyz_right,acc_max_xy_right,acc_max_yz_right,acc_max_zx_right,acc_max_pitch_right,acc_max_roll_right,acc_peak_x_right,acc_peak_y_right,acc_peak_z_right,acc_peak_xyz_right,acc_peak_xy_right,acc_peak_yz_right,acc_peak_zx_right,gyro_mean_x_right,gyro_mean_y_right,gyro_mean_z_right,gyro_mean_xyz_right,gyro_mean_xy_right,gyro_mean_yz_right,gyro_mean_zx_right,gyro_std_x_right,gyro_std_y_right,gyro_std_z_right,gyro_std_xyz_right,gyro_std_xy_right,gyro_std_yz_right,gyro_std_zx_right,gyro_auc_x_right,gyro_auc_y_right,gyro_auc_z_right,gyro_auc_xyz_right,gyro_auc_xy_right,gyro_auc_yz_right,gyro_auc_zx_right,gyro_max_x_right,gyro_max_y_right,gyro_max_z_right,gyro_max_xyz_right,gyro_max_xy_right,gyro_max_yz_right,gyro_max_zx_right,gyro_peak_x_right,gyro_peak_y_right,gyro_peak_z_right,gyro_peak_xyz_right,gyro_peak_xy_right,gyro_peak_yz_right,gyro_peak_zx_right,acc_mean_x_left,acc_mean_y_left,acc_mean_z_left,acc_mean_xyz_left,acc_mean_xy_left,acc_mean_yz_left,acc_mean_zx_left,acc_mean_pitch_left,acc_mean_roll_left,acc_std_x_left,acc_std_y_left,acc_std_z_left,acc_std_xyz_left,acc_std_xy_left,acc_std_yz_left,acc_std_zx_left,acc_std_pitch_left,acc_std_roll_left,acc_auc_x_left,acc_auc_y_left,acc_auc_z_left,acc_auc_xyz_left,acc_auc_xy_left,acc_auc_yz_left,acc_auc_zx_left,acc_auc_pitch_left,acc_auc_roll_left,acc_max_x_left,acc_max_y_left,acc_max_z_left,acc_max_xyz_left,acc_max_xy_left,acc_max_yz_left,acc_max_zx_left,acc_max_pitch_left,acc_max_roll_left,acc_peak_x_left,acc_peak_y_left,acc_peak_z_left,acc_peak_xyz_left,acc_peak_xy_left,acc_peak_yz_left,acc_peak_zx_left,gyro_mean_x_left,gyro_mean_y_left,gyro_mean_z_left,gyro_mean_xyz_left,gyro_mean_xy_left,gyro_mean_yz_left,gyro_mean_zx_left,gyro_std_x_left,gyro_std_y_left,gyro_std_z_left,gyro_std_xyz_left,gyro_std_xy_left,gyro_std_yz_left,gyro_std_zx_left,gyro_auc_x_left,gyro_auc_y_left,gyro_auc_z_left,gyro_auc_xyz_left,gyro_auc_xy_left,gyro_auc_yz_left,gyro_auc_zx_left,gyro_max_x_left,gyro_max_y_left,gyro_max_z_left,gyro_max_xyz_left,gyro_max_xy_left,gyro_max_yz_left,gyro_max_zx_left,gyro_peak_x_left,gyro_peak_y_left,gyro_peak_z_left,gyro_peak_xyz_left,gyro_peak_xy_left,gyro_peak_yz_left,gyro_peak_zx_left,class
-0.32322,0.20333,0.92587,1.0016,0.38191,0.94798,0.98071,-36.237,56.066,0.0077093,0.0084412,0.0072255,0.0046559,0.0093546,0.0058837,0.0057644,2.0824,0.39261,-7.4333,4.6721,21.299,23.039,8.7809,21.806,22.559,-834.31,1289.4,-0.30493,0.2207,0.93701,1.011,0.39443,0.95765,0.99197,-32.486,56.683,6,7,8,10,7,9,9,-0.40998,0.3835,0.10109,1.3055,1.2505,1.0329,0.73988,0.61773,1.156,0.38938,0.6435,0.63245,0.72663,0.37891,-8.1707,8.5899,1.2881,23.051,22.125,18.024,13.244,0.47256,2.3628,1.0823,2.978,2.7743,2.9638,1.7988,6,5,5,5,5,6,6,0.064082,-0.38991,0.9095,0.99172,0.39528,0.9896,0.91181,44.748,-79.185,0.010376,0.0081569,0.0068183,0.0049134,0.0081355,0.0048947,0.006843,0.88141,2.0119,1.4088,-8.5701,20.011,21.817,8.6881,21.77,20.062,984.58,-1742,0.082275,-0.37158,0.92944,1.0034,0.41081,1.001,0.9321,46.481,-75.366,6,8,7,6,8,6,6,0.17567,2.4158,4.4461,6.7747,4.2492,6.4895,5.5162,1.8514,4.2792,4.3911,4.4437,2.9902,4.501,3.3984,4.9466,54.466,97.203,136.27,84.795,130.75,111.29,3.3689,9.1463,9.253,12.689,9.3458,12.542,9.2591,5,4,2,4,6,4,3,0
-0.72239,-0.75275,0.54265,1.4348,1.2594,1.0552,1.0983,-29.834,-32.517,0.97793,0.74505,0.84073,1.2323,0.99807,1.0003,1.1222,45.253,41.974,-19.958,-21.387,15.353,40.38,35.357,29.91,30.789,-798.87,-929.89,1.6262,0.11108,4.5391,6.7025,4.9315,4.9999,6.3661,86.902,87.157,7,3,6,7,6,4,9,-17.331,29.861,-14.121,155.17,135.42,135.26,94.494,88.226,138.28,79.402,96.898,94.345,85.806,72.373,-444.5,698.64,-321.73,2970,2615.2,2576.3,1785.1,157.65,374.97,196.78,405.69,404.66,376.08,295.37,3,5,3,6,4,6,4,0.94342,-0.1225,0.27025,0.99176,0.95348,0.3,0.98217,82.64,-3.2794,0.028821,0.06381,0.035645,0.013063,0.021268,0.056613,0.019179,3.9096,3.1755,10.394,-1.3525,2.9445,10.917,10.504,3.2743,10.811,908.82,-37.153,0.979,-0.047,0.326,1.0101,0.98072,0.39168,1.0082,87.172,1.367,1,1,2,4,3,2,4,-1.123,1.4888,-1.3542,16.891,15.168,10.683,14.465,14.063,8.6781,7.7562,6.4092,6.0522,4.5383,6.5439,-26.007,43.659,-33.994,382.87,341.99,247,326.29,19.451,17.073,9.451,29.268,26.904,20.598,24.885,1,5,2,3,3,5,2,1
-0.63822,-0.07666,0.7267,1.0622,0.68138,0.76607,1.0416,-56.342,16.164,0.33539,0.18407,0.53618,0.48738,0.30453,0.51559,0.49303,44.296,38.021,-12.887,-1.4058,14.567,21.408,13.75,15.364,20.998,-1128.4,338.7,-0.036377,0.27417,1.865,1.9271,1.3079,1.8808,1.9266,71.228,84.223,3,5,3,4,4,4,4,12.415,-74.034,28.842,199.45,171.46,185.87,112.26,75.669,165.56,108.58,96.907,88.257,95.293,71.576,282.26,-1010.3,521.01,2944.1,2520.7,2763.6,1657,82.835,185.78,216.37,416.7,379.68,409.1,240.29,3,3,1,2,2,3,2,-0.46199,-0.38296,0.54159,1.0183,0.66777,0.75423,0.93306,-12.207,-46.39,0.44571,0.11547,0.46218,0.16131,0.35012,0.30445,0.18241,46.14,24.131,-11.025,-9.1394,13.084,24.416,15.984,18.084,22.387,-289.39,-1111.6,-0.096436,-0.14771,1.0127,1.3972,1.3924,1.056,1.3594,31.337,-7.6655,5,4,6,6,4,5,6,-15.708,-145.51,38.266,211.66,191.8,197.3,102.5,58.05,198.81,96.716,169.91,162.8,177.49,57.806,-181.87,-2352.4,572.75,3277.5,2970.5,3077.2,1557.1,74.909,86.28,182.33,527.93,495.44,523.21,195.46,4,2,1,2,2,1,3,0
0.35282,0.63962,0.69023,1.1535,0.87068,0.99449,0.90574,45,61.502,0.47363,0.31746,0.2892,0.28067,0.30662,0.2791,0.28643,29.474,14.92,11.563,21.809,23.326,39.017,29.413,33.784,30.509,1515.6,2091.7,1.292,1.7097,1.0532,1.8679,1.8481,1.8299,1.5791,74.654,88.368,5,7,5,6,7,6,6,11.076,-26.751,11.926,92.239,78.85,79.349,58.103,46.014,69.276,45.208,33.813,36.478,34.574,30.503,282.8,-621.96,291.45,2372.2,2014.8,2037.4,1521.1,125.46,72.165,68.537,192.37,184.76,192.2,129.16,6,6,5,7,5,7,5,0.47356,-0.44259,0.74068,0.98765,0.65198,0.86365,0.88162,58.315,-21.554,0.064737,0.04632,0.043755,0.037514,0.036002,0.051374,0.040233,3.5964,9.6343,20.934,-19.423,32.594,43.473,28.705,37.976,38.841,2571.7,-932.13,0.61743,-0.35449,0.82251,1.0726,0.75064,0.96012,0.95884,64.024,-8.0124,11,9,10,12,11,11,11,3.9019,-39.881,-3.0168,56.477,51.136,52.839,23.079,19.396,49.325,16.827,38.251,42.013,38.504,11.556,100.02,-1167.5,-79.672,1648.2,1489.9,1544.2,667.7,42.759,25.808,31.098,137.32,136.69,133.22,45.209,5,5,6,6,7,6,8,3
-0.91127,0.44262,-0.23157,1.116,1.0238,0.5983,1.0147,-57.778,31.725,0.12344,0.15824,0.41133,0.19929,0.13394,0.28814,0.18759,24.853,13.269,-35.387,17.283,-8.8428,43.364,39.801,23.237,39.391,-2245.1,1233.1,-0.64307,0.84424,0.4082,1.7423,1.3818,1.597,1.6541,44.369,71.772,9,8,7,9,8,10,10,-47.914,51.212,-19.311,119.84,111.59,78.18,92.676,95.38,69.879,31.436,74.502,78.464,51.331,62.751,-1328.4,1317.1,-469.25,3138.2,2938.8,2020.3,2434.6,63.506,207.74,31.646,259.42,258.29,209.15,196.18,3,4,4,4,4,4,4,-0.69071,-0.59825,0.37653,1.0055,0.91866,0.72574,0.79875,-45.272,-34.431,0.071122,0.11088,0.13981,0.03633,0.089716,0.061112,0.068516,6.2611,9.9769,-17.156,-15.043,9.462,25.135,22.932,18.262,19.9,-1121.5,-867.32,-0.57104,-0.41504,0.63086,1.0972,1.0546,0.80151,0.90175,-35.978,-14.557,6,3,4,8,6,5,4,-13.299,-16.018,28.721,70.978,58.651,55.155,55.699,51.415,39.135,33.089,34.285,30.298,22.417,38.245,-142.13,-214.64,312.46,835.76,701.16,653.53,639.34,44.04,48.537,75.137,132.33,111.1,91.488,119.62,2,2,1,3,3,3,2,5
-0.71003,-0.44273,0.42037,1.0947,0.91419,0.75292,0.9134,-49.675,-16.454,0.27867,0.40626,0.49377,0.39224,0.32006,0.45606,0.40339,27.721,37.909,-20.368,-13.054,12.639,31.85,26.463,22.251,26.439,-1413.9,-483.23,-0.14746,0.23804,2.2727,2.5511,1.6994,2.2851,2.5399,21.855,79.461,8,3,9,7,5,7,9,37.798,-16.993,-22.48,95.935,91.127,67.412,67.196,70.652,69.068,26.34,56.193,53.626,39.287,54.652,823.32,-372.26,-507.36,2141.4,2031.7,1515.4,1491.3,172.35,162.29,10.29,201.47,180.64,162.78,188.06,3,7,6,6,6,8,4,0.75683,-0.13258,0.29533,1.1225,0.80107,0.71364,1.0997,76.861,9.8431,0.45287,0.19138,0.69784,0.30568,0.43094,0.28696,0.30462,8.3865,23.211,8.533,-1.43,2.7475,12.401,9.0396,7.7325,12.148,844.35,97.305,1.57,0.207,1.115,1.723,1.5836,1.1918,1.7105,86.524,41.5,2,2,2,4,2,4,4,5.587,-78.984,15.252,220.85,215.75,183.1,120.23,133.56,211.28,53.85,145.84,143,138.96,77.006,30.552,-1765.2,371.37,5131.6,5009.6,4263.6,2780.7,215,359.15,131.4,490.51,472.65,440.88,251.85,2,3,3,4,4,4,5,2
-0.55251,-0.42976,0.63191,1.037,0.7624,0.83663,0.87501,-41.198,-13.867,0.28371,0.21218,0.34137,0.22289,0.17654,0.20429,0.36594,24.635,40.721,-16.766,-12.832,19.184,31.243,22.87,25.182,26.564,-1242.2,-390.79,0.13232,-0.1687,1.1797,1.4668,1.2382,1.2046,1.4485,6.6884,44.383,10,6,7,8,9,6,8,1.2696,-5.1793,3.628,54.056,47.802,46.969,34.011,27.633,44.251,25.683,18.89,18.769,18.53,14.97,51.761,-155.54,97.538,1076.9,950.61,933.78,680.7,41.494,56.662,38.963,89.728,85.066,85.798,65.477,5,6,6,7,6,8,7,0.63992,-0.34233,0.64258,0.98027,0.73235,0.73561,0.91299,66.436,-7.0669,0.13615,0.10977,0.077192,0.11522,0.1416,0.077346,0.11104,6.3371,11.547,7.153,-3.7975,6.9995,10.823,8.1744,8.0484,10.071,731.14,-80.31,0.935,-0.145,0.736,1.2335,0.99871,0.83341,1.1825,78.234,8.4621,3,2,2,3,3,2,3,10.175,-2.6931,20.462,57.91,50.929,50.168,34.929,30.281,56.814,34.126,48.606,39.419,47.018,36.788,262.87,-142.1,434.42,1277.6,1125.4,1093.6,778.29,88.232,172.19,104.08,201.85,174.6,199.77,119.1,3,3,5,4,5,5,4,0
0.94568,0.28098,-0.2701,1.0419,0.98748,0.40879,1.0026,73.999,21.676,0.069494,0.043388,0.19638,0.068705,0.069214,0.15726,0.065275,2.1494,8.072,28.311,8.4363,-8.2117,31.241,29.57,12.351,30.059,2219.1,655.15,1.0791,0.34692,-0.016602,1.2056,1.1315,0.75265,1.1625,81.696,40.302,7,7,8,7,7,9,7,2.7383,9.018,2.3018,58.77,54.569,40.114,44.881,49.613,46.214,22.599,39.515,39.341,32.24,29.316,-36.936,166.43,50.236,1020.5,941.26,731.3,763.06,127.23,119.24,27.088,149.25,139.23,130.81,127.23,3,5,3,3,4,5,2,0.26183,-0.72544,0.62391,0.99207,0.77127,0.95688,0.67665,36.876,-67.215,0.0063635,0.0056324,0.0094225,0.0053941,0.0050572,0.0050745,0.0097809,0.6796,0.71285,6.5422,-18.138,15.599,24.803,19.282,23.924,16.916,921.73,-1680.7,0.27686,-0.71631,0.64111,1.0047,0.78083,0.96902,0.69406,38.256,-65.411,7,6,8,8,9,8,8,0.093641,0.57382,0.31359,1.0236,0.91693,0.74338,0.74085,0.69138,0.43185,0.45922,0.46589,0.35088,0.5126,0.46169,0.89177,7.7134,4.1997,13.492,12.022,10.033,9.6185,1.3262,1.372,1.5244,2.1674,1.5408,2.0509,1.6779,3,3,4,4,4,3,4,0
0.73799,0.61036,0.37476,1.114,1.0023,0.79352,0.88618,55.596,45.582,0.23825,0.30122,0.29341,0.21017,0.23886,0.23715,0.19814,14.882,14.487,22.262,18.253,11.435,33.586,30.144,23.905,26.828,1676.3,1368.2,1.2744,1.2488,0.92798,1.6492,1.6102,1.3174,1.298,86.936,79.07,9,5,8,8,9,6,8,-9.9855,-5.7941,-6.5904,79.528,74.245,62.889,44.208,44.823,78.063,27.475,49.015,49.547,52.696,29.364,-184.29,-283.6,-168.43,1495,1391.2,1151.5,864.44,80.747,245.24,78.704,257.62,245.31,257.56,116.35,5,6,4,5,5,6,4,0.62852,-0.56696,0.47689,1.069,0.92055,0.76429,0.87512,52.932,-34.184,0.35247,0.28399,0.25499,0.25355,0.26353,0.33042,0.20235,20.367,22.331,18.224,-16.656,13.914,31.227,26.892,22.38,25.492,1524.9,-1005.5,1.2075,-0.10278,1.0457,1.7575,1.6077,1.6571,1.2178,85.145,-3.4432,6,6,7,6,6,6,7,7.5632,-80.251,-11.689,103.88,99.124,100.79,28.993,20.622,83.148,21.406,58.995,62.311,60.425,14.554,208.75,-2193.9,-319.79,2737.3,2611.5,2654.2,763.86,48.445,91.692,22.53,209.8,207.47,209.39,69.031,6,5,2,5,5,5,5,3
-0.97952,-0.20442,-0.0095766,1.0743,1.0538,0.38135,1.0018,-71.457,-8.3456,0.20401,0.34364,0.20585,0.21024,0.21612,0.23123,0.19598,12.463,20.449,-29.11,-5.505,-0.33093,31.789,31.163,10.975,29.792,-2158.7,-226.38,-0.63696,0.47803,0.50195,1.7464,1.743,1.0119,1.4274,-48.931,41.729,8,3,7,8,8,6,8,-17.038,56.836,7.2215,106.08,99.345,94.705,43.864,35.981,125.6,27.192,98.811,102.08,102.75,19.42,-384.97,1122.6,154.79,2163.8,2017.9,1922.8,917.35,65.198,327.13,49.604,329.87,329.74,327.26,92.614,6,5,5,4,5,5,5,0.825,-0.40275,0.36817,0.98913,0.91806,0.54567,0.90342,65.398,-19.424,0.0012792,0.0020944,0.001899,0.00094623,0.0012902,0.0010024,0.0013522,0.12707,0.19854,9.0765,-4.429,4.049,10.881,10.099,6.0009,9.9387,719.47,-213.58,0.827,-0.399,0.372,0.99118,0.91953,0.54736,0.906,65.608,-19.085,3,2,2,3,3,2,3,-0.93525,0.17029,0.048292,1.0089,0.9655,0.32951,0.98046,0.23621,0.14161,0.29391,0.21348,0.21471,0.16073,0.23291,-21.714,3.965,0.793,23.322,22.429,7.4389,22.649,-0.488,0.488,0.793,1.4152,1.4033,0.80233,1.4139,5,5,6,4,5,6,4,0
